LIBMORPHOCIMO3|CIMO3|CODMORPHOCIMO3|Comm|LESION|LIBLESION|MODIFADICAP
Tumeur carcinoïde , SAI (sauf appendice,r M-8240/1)|M-8240/3|82403||S4Y2|TUMEUR CARCINOIDE AVEC CELLULES ONCOCYTAIRES|
Adénocarcinome, SAI|M-8140/3|81403|G|S4Y3|TUMEUR CARCINOIDE MELANOCYTIQUE|
Adénocarcinome sébacé (C44.-)|M-8410/3|84103||S7A0|CARCINOME SEBACE ET MEIBONIEN (SAI)|
Adénocarcinome cérumineux (C44.2)|M-8420/3|84203||S7B0|CARCINOME CERUMINEUX|
Adénocarcinome des glandes sudoripares (C44.-)|M-8400/3|84003||S7E0|ADENOCARCINOME SUDORIPARE (SAI) - HIDRADENOCARCINOME (SAI)|
Adénocarcinome apocrine|M-8401/3|84013||S7E3|ADENOCARCINOME APOCRINE|
Porome eccrine malin|M-8409/3|84093||S7E4|ADENOCARCINOME ECCRINE|
Hidradénome nodulaire malin (C44.-)|M-8402/3|84023||S7E6|HIDRADENOCARCINOME A CELLULES CLAIRES|
Porome eccrine malin|M-8409/3|84093||S7F6|POROCARCINOME ECCRINE|
Porome eccrine malin|M-8409/3|84093||S7F7|POROCARCINOME INTRA-EPIDERMIQUE|
Carcinome sclérosant d’un canal sudorifère (C44.-)|M-8407/3|84073||S7H1|CARCINOME SYRINGOIDE|
Tumeur ténosynoviale maligne à cellules géantes (C49.-)|M-9252/3|92523||S7P0|TUMEUR MALIGNE A CELLULES GEANTES DES SYNOVIALES|
Sarcome synovial, SAI|M-9040/3|90403||S7R0|SYNOVIALOSARCOME (SAI)|
Sarcome synovial à cellules fusiformes|M-9041/3|90413||S7R2|SYNOVIALOSARCOME A CELLULES FUSIFORMES (TYPE SARCOMATOIDE)|
Sarcome synovial à cellules épithélioïdes|M-9042/3|90423||S7R4|SYNOVIALOSARCOME A CELLULES EPITHELIOIDES (TYPE EPITHELIOIDE)|
Sarcome synovial biphasique|M-9043/3|90433||S7R6|SYNOVIALOSARCOME A DOUBLE COMPOSANTE SARCOMATOIDE ET EPITHELIOIDE - SYNOVIALOSARCOME BIPHASIQUE|
Sarcome synovial, SAI|M-9040/3|90403||S7R8|SYNOVIALOSARCOME PEU DIFFERENCIE|
Carcinome neuroendocrinien, SAI|M-8246/3|82463||S7S0|APUDOME MALIN - CARCINOME NEUROENDOCRINE - TUMEUR MALIGNE DU SED (SAI)|
Carcinome insulaire du pancréas (C25.-)|M-8150/3|81503||S7S2|NESIDIOBLASTOME MALIN|
Carcinome médullaire à stroma amyloïde (C73.9)|M-8345/3|83453||S7S4|CARCINOME MEDULLAIRE A CELLULES C (SAI)|
Carcinome médullaire à stroma amyloïde (C73.9)|M-8345/3|83453||S7S5|CARCINOME MEDULLAIRE A STROMA AMYLOIDE|
Tumeur carcinoïde , SAI (sauf appendice,r M-8240/1)|M-8240/3|82403||S7S6|CARCINOIDE MALIN|
Gastrinome malin|M-8153/3|81533||S7S7|GASTRINOME MALIN|
Glucagonome malin (C25.-)|M-8152/3|81523||S7S8|GLUCAGONOME MALIN|
Insulinome malin (C25.-)|M-8151/3|81513||S7T2|INSULINOME MALIN|
Carcinome neuroendocrinien, SAI|M-8246/3|82463|G|S7T4|PPOME MALIN|
Somatostatinome malin|M-8156/3|81563||S7T6|SOMATOSTATINOME MALIN|
Vipome malin|M-8155/3|81553||S7T7|VIPOME MALIN|
Carcinome neuroendocrinien, SAI|M-8246/3|82463|G|S7T9|APUDOME MALIN A SECRETIONS MULTIPLES|
Carcinome neuroendocrinien, SAI|M-8246/3|82463|G|S7V0|POLYONCOSE MALIGNE DU SED (SAI)|
Carcinome neuroendocrinien, SAI|M-8246/3|82463|G|S7V2|POLYONCOSE MALIGNE UNIVISCERALE DU SED|
Carcinome neuroendocrinien, SAI|M-8246/3|82463|G|S7V9|TUMEUR MALIGNE DU SED AU COURS D'UNE POLYONCOSE PLURIVISCERALE|
Tumeur carcinoïde mixte|M-8244/3|82443||S7W0|TUMEUR AMPHICRINE MALIGNE (SAI)|
Tumeur maligne mucocarcinoïde|M-8243/3|82433||S7W2|CARCINOIDE A CELLULES MUCINEUSES|
Adénocarcinome avec différenciation neuroendocrinienne|M-8574/3|85743||S7W4|CARCINOME A CONTINGENT ENDOCRINE (SAI)|
Adénocarcinome avec différenciation neuroendocrinienne|M-8574/3|85743||S7W6|ADENOCARCINOME AVEC CELLULES ENDOCRINES|
Carcinome à cellules de Merkel (C44.-)|M-8247/3|82473||S7X0|TUMEUR MALIGNE A CELLULES DE MERKEL|
Carcinome neuroendocrinien, SAI|M-8246/3|82463||S7Z0|CARCINOME NEURO-ENDOCRINE (SAI)|
Carcinome neuroendocrinien, SAI|M-8246/3|82463||S7Z1|CARCINOME NEURO-ENDOCRINE PROBABLE|
Carcinome neuroendocrinien, SAI|M-8246/31|82463||S7Z2|CARCINOME NEURO-ENDOCRINE BIEN DIFFERENCIE|
Carcinome neuroendocrinien, SAI|M-8246/34|82463||S7Z3|CARCINOME NEURO-ENDOCRINE INDIFFERENCIE|
Carcinome à petites cellules, SAI|M-8041/3|80413||S7Z4|CARCINOME NEURO-ENDOCRINE A PETITES CELLULES|
Carcinome neuroendocrinien à grandes cellules|M-8013/3|80133||S7Z6|CARCINOME NEURO-ENDOCRINE A GRANDES CELLULES|
Thymome bénin (C37.9)|M-8580/0|85800||T0A0|THYMOME BENIN (SAI)|
Môle hydatiforme, SAI (C58.9)|M-9100/0|91000||T0C0|MOLE HYDATIFORME (SAI)|
Môle hydatiforme partielle (C58.9)|M-9103/0|91030||T0C2|MOLE PARTIELLE - MOLE EMBRYONNEE|
Tumeur trophoblastique du site placentaire (C58.9)|M-9104/1|91041||T0D0|TUMEUR TROPHOBLASTIQUE BENIGNE DU SITE D'IMPLANTATION|
Tumeur trophoblastique du site placentaire (C58.9)|M-9104/1|91041|G|T0E0|CHORIOEPITHELIOSE|
Thymome, SAI (C37.9)|M-8580/1|85801||T4A0|THYMOME A MALIGNITE INCERTAINE|
Thymome de type B1, SAI (C37.9)|M-8583/1|85831||T4A1|THYMOME A PREDOMINANCE LYMPHOIDE|
Thymome de type AB, SAI (C37.9)|M-8582/1|85821||T4A2|THYMOME DE TYPE LYMPHO-EPITHELIAL|
Thymome de type A, SAI (C37.9)|M-8581/1|85811||T4A4|THYMOME A CELLULES FUSIFORMES (SARCOMATOIDE)|
Môle hydatiforme invasive, SAI (C58.9)|M-9100/1|91001||T4C0|MOLE HYDATIFORME INVASIVE - MOLE DISSEQUANTE|
Thymome malin, SAI (C37.9)|M-8580/3|85803||T7A0|THYMOME MALIN (SAI)|
Thymome malin de type AB (C37.9)|M-8582/3|85823||T7A2|THYMOME MALIN DE TYPE LYMPHO-EPITHELIAL|
Thymome malin, SAI (C37.9)|M-8580/3|85803||T7A3|THYMOME MALIN A CELLULES CLAIRES|
Thymome malin de type A (C37.9)|M-8581/3|85813||T7A4|THYMOME MALIN A CELLULES FUSIFORMES (SARCOMATOIDE)|
Carcinome thymique, SAI (C37.9)|M-8586/3|85863||T7A6|CARCINOME THYMIQUE|
Thymome malin, SAI (C37.9)|M-8580/3|85803||T7A8|THYMOME MALIN INDIFFERENCIE|
Choriocarcinome, SAI|M-9100/3|91003||T7C0|CHORIOCARCINOME|
|M-9104/3|91043|G|T7D0|TUMEUR TROPHOBLASTIQUE MALIGNE DU SITE D'IMPLANTATION|
Choriocarcinome avec autres éléments à cellules germinales|M-9101/3|91013||T7H0|CHORIOCARCINOME ASSOCIE AUX AUTRES TUMEURS GERMINALES (SAI)|
Choriocarcinome avec autres éléments à cellules germinales|M-9101/3|91013|G|T7H1|CHORIOCARCINOME ET CARCINOME EMBRYONNAIRE|
Choriocarcinome avec autres éléments à cellules germinales|M-9101/3|91013|G|T7H2|CHORIOCARCINOME ET POLYEMBRYOME|
Choriocarcinome avec autres éléments à cellules germinales|M-9101/3|91013|G|T7H3|CHORIOCARCINOME ET SEMINOME|
Choriocarcinome avec autres éléments à cellules germinales|M-9101/3|91013|G|T7H4|CHORIOCARCINOME ET TUMEUR VITELLINE|
Choriocarcinome avec autres éléments à cellules germinales|M-9101/3|91013|G|T7H5|CHORIOCARCINOME ET TERATOCARCINOME|
Choriocarcinome avec autres éléments à cellules germinales|M-9101/3|91013|G|T7H6|CHORIOCARCINOME ET TERATOME IMMATURE|
Choriocarcinome avec autres éléments à cellules germinales|M-9101/3|91013|G|T7H9|CHORIOCARCINOME AVEC ASSOCIATIONS MULTIPLES|
Thymome malin, SAI (C37.9)|M-8580/3|85803||TEA0|THYMOME AVEC EXTENSION LOCALE|
Thymome malin, SAI (C37.9)|M-8580/3|85803||TMA0|THYMOME AVEC EMBOLES NEOPLASIQUES|
Papillome bénin à cellules transitionnelles|M-8120/0|81200||U0A0|PAPILLOME TRANSITIONNEL DES VOIES URINAIRES - PAPILLOME UROTHELIAL DE MOSTOFI|
Papillome transitionnel inversé, SAI|M-8121/1|81211||U0B0|PAPILLOME TRANSITIONNEL INVERSE DES VOIES URINAIRES - PAPILLOME UROTHELIAL INVERSE|
Carcinome à cellules transitionnelles in situ|M-8120/2|81202||U5A0|CARCINOME TRANSITIONNEL PLAN IN SITU|
Carcinome transitionnel papillaire non invasif (C67.-)|M-8130/2|81302||U5D0|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE NON INFILTRANT (SAI)|
Tumeur transitionnelle papillaire à faible potentiel malin (C67.-)|M-8130/1|81301||U5D1|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE NON INFILTRANT DE GRADE I OU DE BAS GRADE|
|M-8130/21|81302||U5D2|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE NON INFILTRANT DE GRADE II OU DE GRADE MOYEN|
|M-8130/23|81302||U5D3|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE NON INFILTRANT DE GRADE III OU DE HAUT GRADE|
Carcinome à cellules transitionnelles in situ|M-8120/2|81202||U5E0|TUMEURS OU CARCINOMES TRANSITIONNELS MULTIPLES MULTIFORMES ET/OU MULTIRECIDIVANTS (SAI)|
Tumeur transitionnelle papillaire à faible potentiel malin (C67.-)|M-8130/1|81301||U5E1|TUMEURS OU CARCINOMES TRANSITIONNELS MULTIPLES MULTIFORMES ET/OU MULTIRECIDIVANTS DE GRADE I OU DE BAS GRADE|E DE LA MALIGNITE
|M-8130/21|81302||U5E2|TUMEURS OU CARCINOMES TRANSITIONNELS MULTIPLES MULTIFORMES ET/OU MULTIRECIDIVANTS DE GRADE II OU DE GRADE MOYEN|
|M-8130/23|81302||U5E3|TUMEURS OU CARCINOMES TRANSITIONNELS MULTIPLES MULTIFORMES ET/OU MULTIRECIDIVANTS DE GRADE III OU DE HAUT GRADE|
Carcinome urothélial papillaire non invasif (C67.-)|M-8130/2|81302||U5E9|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE DIFFUS (PAPILLOMATOSE UROTHELIALE)|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7A0|CARCINOME TRANSITIONNEL (PAPILLAIRE OU NON) INFILTRANT (SAI)|
Carcinome à cellules transitionnelles, SAI|M-8120/31|81203|G|U7A1|CARCINOME TRANSITIONNEL (PAPILLAIRE OU NON) INFILTRANT DE GRADE I OU DE BAS GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/32|81203|G|U7A2|CARCINOME TRANSITIONNEL (PAPILLAIRE OU NON) INFILTRANT DE GRADE II OU DE GRADE MOYEN|
Carcinome à cellules transitionnelles, SAI|M-8120/33|81203|G|U7A3|CARCINOME TRANSITIONNEL (PAPILLAIRE OU NON) INFILTRANT DE GRADE III OU DE HAUT GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7G0|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION SUPERFICIEL (SAI)|
Carcinome à cellules transitionnelles, SAI|M-8120/31|81203|G|U7G1|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION SUPERFICIEL DE GRADE I OU DE BAS GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/32|81203|G|U7G2|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION SUPERFICIEL DE GRADE II OU DE GRADE MOYEN|
Carcinome à cellules transitionnelles, SAI|M-8120/33|81203|G|U7G3|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION SUPERFICIEL DE GRADE III OU DE HAUT GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7H0|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION PROFOND (SAI)|
Carcinome à cellules transitionnelles, SAI|M-8120/31|81203|G|U7H1|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION PROFOND DE GRADE I OU DE BAS GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/32|81203|G|U7H2|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION PROFOND DE GRADE II OU DE GRADE MOYEN|
Carcinome à cellules transitionnelles, SAI|M-8120/33|81203|G|U7H3|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION PROFOND DE GRADE III OU DE HAUT GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7K0|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE SUPERFICIEL (SAI)|
Carcinome à cellules transitionnelles, SAI|M-8120/31|81203|G|U7K1|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE SUPERFICIEL DE GRADE I OU DE BAS GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/32|81203|G|U7K2|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE SUPERFICIEL DE GRADE II OU DE GRADE MOYEN|
Carcinome à cellules transitionnelles, SAI|M-8120/33|81203|G|U7K3|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE SUPERFICIEL DE GRADE III OU DE HAUT GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7L0|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE PROFOND (SAI)|
Carcinome à cellules transitionnelles, SAI|M-8120/31|81203|G|U7L1|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE PROFOND DE GRADE I OU DE BAS GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/32|81203|G|U7L2|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE PROFOND DE GRADE II OU DE GRADE MOYEN|
Carcinome à cellules transitionnelles, SAI|M-8120/33|81203|G|U7L3|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE PROFOND DE GRADE III OU DE HAUT GRADE|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7N0|CARCINOME TRANSITIONNEL DEPASSANT LE MUSCLE (SAI)|
Carcinome à cellules transitionnelles, SAI|M-8120/33|81203|G|U7N3|CARCINOME TRANSITIONNEL DEPASSANT LE MUSCLE DE GRADE III|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7P0|CARCINOME TRANSITIONNEL AVEC METAPLASIE (SAI)|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7P1|CARCINOME TRANSITIONNEL AVEC METAPLASIE EPIDERMOIDE|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7P2|CARCINOME TRANSITIONNEL AVEC METAPLASIE GLANDULAIRE|
Carcinome à cellules transitionnelles, SAI|M-8120/3|81203|G|U7P3|CARCINOME TRANSITIONNEL AVEC METAPLASIE EPIDERMOIDE ET GLANDULAIRE|
Hémangiome, SAI|M-9120/0|91200||V0A0|HEMANGIOME (SAI) - HAMARTOME VASCULAIRE (SAI)|
Hémangiome capillaire|M-9131/0|91310||V0A2|HEMANGIOME CAPILLAIRE|
Hémangiome intramusculaire|M-9132/0|91320||V0A3|HEMANGIOME INFILTRANT - HEMANGIOME INTRAMUSCULAIRE|
Hémangiome caverneux|M-9121/0|91210||V0A4|HEMANGIOME CAVERNEUX|
Hémangiome racémeux|M-9123/0|91230||V0A5|HEMANGIOME CIRSOIDE - HEMANGIOME ARTERIO-VEINEUX|
Hémangiome épithélioïde|M-9125/0|91250||V0A6|HEMANGIOME EPITHELOIDE|
Hémangiome, SAI|M-9120/0|91200|G|V0A7|HEMANGIOME SCLEROSE|
Hémangiome veineux|M-9122/0|91220||V0A8|HEMANGIOME VEINEUX|
Hémangiome, SAI|M-9120/0|91200|G|V0A9|HEMANGIOME GEANT|
Hémangiome, SAI|M-9120/0|91200|G|V0B1|HEMANGIOME GLOMERULOIDE|
Hémangiome pelotonné acquis|M-9161/0|91610||V0B2|HEMANGIOME EN TOUFFES - TUFTED HEMANGIOMA|
Hémangiome, SAI|M-9120/0|91200|G|V0B3|HEMANGIOME SINUSOIDAL|
Hémangiome, SAI|M-9120/0|91200|G|V0B4|HEMANGIOME HEMOSIDEROTIQUE EN CIBLE|
hemangiomatose|M-76110|76110||V0C0|HEMANGIOMATOSE - ANGIOMATOSE (SAI)|
angiomatose|M-76100|76100|G|V0C1|BLUE RUBBER  SYNDROME DU - BLEB NAEVUS|
syndrome de Klippel-Trenaunay-Weber|D4-01025|01025||V0C2|KLIPPEL-TRENAUNAY  SYNDROME DE|
angiomatose bacillaire|DE-21930|21930||V0C3|ANGIOMATOSE BACILLAIRE|
angiomatose bacillaire|DE-21930|21930|G|V0C4|ANGIOMATOSE BACILLAIRE INCERTAINE|
anévrisme artérioveineux|M-32220|32220|G|V0C5|PARKES-WEBER  SYNDROME DE|
angiomatose hémorragique familiale|D4-01041|01041||V0C6|RENDU-OSLER  MALADIE DE|
Angiokératome|M-9141/0|91410||V0E0|ANGIOKERATOME|
Angiokératome|M-9141/0|91410|G|V0E2|ANGIOKERATOME DE LA MALADIE DE FABRY|
Angiofibrome, SAI|M-9160/0|91600||V0E4|ANGIOFIBROME (SAI)|
Hémolymphangiome|M-9175/0|91750||V0F0|HEMOLYMPHANGIOME|
Hémangioblastome|M-9161/1|91611||V0G0|HEMANGIOBLASTOME - HEMANGIOENDOTHELIOME INFANTILE|
Angioendothéliome papillaire endovasculaire|M-9135/1|91351||V0H0|HEMANGIOENDOTHELIOME VEGETANT INTRAVASCULAIRE (MASSON)|
Hémangiopéricytome bénin|M-9150/0|91500||V0K0|HEMANGIOPERICYTOME BENIN|
Hémangiopéricytome bénin|M-9150/0|91500|G|V0K1|HEMANGIOPERICYTOME INFANTILE|
Tumeur glomique, SAI|M-8711/0|87110||V0L0|TUMEUR GLOMIQUE (SAI)|
Glomangiome|M-8712/0|87120||V0L1|GLOMANGIOME|
Angioneuromyome|M-8712/0|87120|G|V0L2|GLOMANGIOMATOSE|
Glomangiomyome|M-8713/0|87130||V0L3|GLOMANGIOMYOME|
Tumeur juxtaglomérulaire (C64.9)|M-8361/0|83610||V0M0|TUMEUR JUXTAGLOMERULAIRE|
Lymphangiome, SAI|M-9170/0|91700||V0T0|LYMPHANGIOME (SAI)|
Lymphangiome capillaire|M-9171/0|91710||V0T2|LYMPHANGIOME CAPILLAIRE|
Lymphangiome caverneux|M-9172/0|91720||V0T4|LYMPHANGIOME CAVERNEUX|
Lymphangiome kystique|M-9173/0|91730||V0T6|LYMPHANGIOME KYSTIQUE|
lymphangiomatose|M-76130|76130|G|V0T8|LYMPHANGIOMATOSE AVEC OS EVANESCENT - GORHAM  SYNDROME DE|
lymphangiomatose|M-76130|76130||V0T9|LYMPHANGIOMATOSE (SAI)|
Lymphangiomyome|M-9174/1|91741||V0V0|LYMPHANGIOMYOME - LYMPHANGIOMYOMATOSE|
Lymphangiome, SAI|M-9170/0|91700||V0V1|LYMPHANGIOENDOTHELIOME BENIN|
Hémangioendothéliome, SAI|M-9130/1|91301||V4H8|HEMANGIOENDOTHELIOME INFANTILE RESSEMBLANT A UN SARCOME DE KAPOSI - KAPOSI-LIKE INFANTILE HEMANGIOENDOTHELIOMA|
Hémangiopéricytome, SAI|M-9150/1|91501||V4K0|HEMANGIOPERICYTOME A MALIGNITE INCERTAINE - Ne plus utiliser|
Hémangioendothéliome épithélioïde, SAI|M-9133/1|91331||V4N0|HEMANGIOENDOTHELIOME EPITHELOIDE|
Hémangioendothéliome, SAI|M-9130/1|91301|G|V4N2|HEMANGIOENDOTHELIOME RETIFORME|
Hémangioendothéliome à cellules fusiformes|M-9136/1|91361||V4N7|HEMANGIOENDOTHELIOME A CELLULES FUSIFORMES|
Hémangiosarcome|M-9120/3|91203||V7A0|HEMANGIOSARCOME - ENDOTHELIOSARCOME (SAI)|
Hémangioendothéliome épithélioïde malin|M-9133/3|91333|G|V7A1|ANGIOENDOTHELIOME PAPILLAIRE ENDOVASCULAIRE MALIN - TUMEUR DE DABSKA|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||V7A2|ANGIOENDOTHELIOMATOSE PROLIFERATIVE SYSTEMIQUE|
Hémangiosarcome|M-9120/3|91203|G|V7A3|ANGIOSARCOME EPITHELIOIDE|
Hémangiopéricytome malin|M-9150/3|91503||V7K0|HEMANGIOPERICYTOME MALIN|
Glomangiosarcome|M-8710/3|87103||V7L0|TUMEUR GLOMIQUE MALIGNE|
Hémangioendothéliome épithélioïde malin|M-9133/3|91333||V7N0|HEMANGIOENDOTHELIOME EPITHELIOIDE MALIN|
Sarcome de Kaposi|M-9140/3|91403||V7R0|KAPOSI  SARCOME DE|
Sarcome de Kaposi|M-9140/3|91403|G|V7R2|KAPOSI INCERTAIN  SARCOME DE|
Hémangioendothéliome épithélioïde malin|M-9133/3|91333|G|V7S0|TUMEUR BRONCHIOLO-ALVEOLAIRE INTRAVASCULAIRE (IVBAT)|
Lymphangiosarcome|M-9170/3|91703||V7T0|LYMPHANGIOSARCOME - STEWART-TREVES SYNDROME DE|
Carcinome métastatique, SAI|M-8010/6|80106|G|VMW0|LYMPHANGITE CARCINOMATEUSE|
Tumeur bénigne|M-8000/0|80000||X0A0|NEOPLASME BENIN (SAI)|
Tumeur bénigne|M-8000/0|80000|G|X0A1|TUMEUR CONGENITALE BENIGNE (SAI)|
Tumeur bénigne|M-8000/0|80000|G|X0A2|TUMEUR FAMILIALE BENIGNE (SAI)|
Tumeur épithéliale bénigne|M-8010/0|80100||X0B0|TUMEUR EPITHELIALE BENIGNE (SAI)|
Tumeur bénigne des tissus mous|M-8800/0|88000||X0H0|TUMEUR MESENCHYMATEUSE BENIGNE (SAI)|
Tumeur bénigne à cellules géantes|M-8003/0|80030|Créé|X0H2|TUMEUR BENIGNE A CELLULES GEANTES|
Tumeur à cellules granuleuses, SAI|M-9580/0|95800||X0H4|TUMEUR BENIGNE A CELLULES GRANULEUSES - Ne plus utiliser CF N0A8|
Parachordome|M-9373/0|93730||X0H6|PARACHORDOME|
Tumeur bénigne du stroma gastro-intestinal|M-8936/0|89360|89361|X0J0|TUMEUR STROMALE DU TRACTUS GASTRO-INTESTINAL BENIGNE (GIST)|
Nodule du stroma endométrial (C54.1)|M-8930/0|89300||X0N0|NODULE STROMAL DE L'ENDOMETRE|
Tumeur des cordons sexuels et du stroma gonadique, SAI|M-8590/1|85901||X0N8|TUMEUR STROMALE BENIGNE RESSEMBLANT AUX TUMEURS DES CORDONS SEXUELS|
Adénome polymorphe|M-8940/0|89400||X0P0|TUMEUR MIXTE BENIGNE|
Tumeur mixte mésodermique bénigne|M-8951/0|89510|Créé|X0P1|TUMEUR MIXTE MESODERMIQUE BENIGNE (SAI)|
Tumeur bénigne|M-8000/0|80000||X0R0|TUMEUR BENIGNE D'ORIGINE INDETERMINEE (SAI)|
Tumeur bénigne à cellules fusiformes|M-8004/0|80040|Créé|X0R2|TUMEUR BENIGNE A CELLULES FUSIFORMES D'ORIGINE INDETERMINEE|
Tumeur à cellules claires, SAI|M-8005/0|80050||X0R8|TUMEUR BENIGNE A CELLULES CLAIRES D'ORIGINE INDETERMINEE|
Tumeur bénigne|M-8000/0|80000||X0T0|TUMEUR BENIGNE INCLASSABLE (SAI)|
Tumeur de bénignité ou de malignité non assurée|M-8000/1|80001||X4A0|NEOPLASME A MALIGNITE INCERTAINE|
Tumeur de bénignité ou de malignité non assurée|M-8000/1|80001|G|X4A1|TUMEUR CONGENITALE A MALIGNITE INCERTAINE (SAI)|
Tumeur de bénignité ou de malignité non assurée|M-8000/1|80001|G|X4A2|TUMEUR FAMILIALE A MALIGNITE INCERTAINE (SAI)|
Tumeur épithéliale de bénignité ou de malignité non assurée|M-8010/1|80101|Créé|X4B0|TUMEUR EPITHELIALE A MALIGNITE INCERTAINE (SAI)|
Tumeur du stroma gastro-intestinal, SAI|M-8936/1|89361|89363|X4J0|TUMEUR STROMALE DU TRACTUS GASTRO-INTESTINAL A MALIGNITE INCERTAINE (GIST)|
Tumeur de bénignité ou de malignité non assurée|M-8000/1|80001||X4R0|TUMEUR D'ORIGINE INDETERMINEE A MALIGNITE INCERTAINE (SAI)|
Tumeur à cellules fusiformes de bénignité ou de malignité non assurée|M-8004/1|80041|Créé|X4R2|TUMEUR A CELLULES FUSIFORMES D'ORIGINE INDETERMINEE|
Tumeur de bénignité ou de malignité non assurée|M-8000/1|80001||X4T0|TUMEUR INCLASSABLE A MALIGNITE INCERTAINE (SAI)|
Tumeur maligne, SAI|M-8000/3|80003||X7A0|NEOPLASME MALIN|
Tumeur maligne, SAI|M-8000/3|80003|G|X7A1|TUMEUR CONGENITALE MALIGNE (SAI)|
Tumeur maligne, SAI|M-8000/3|80003|G|X7A2|TUMEUR FAMILIALE MALIGNE (SAI)|
||||X7A3|NEOPLASME MALIN STERILISE PAR LA RADIOTHERAPIE|
||||X7A4|NEOPLASME MALIN STERILISE PAR LA CHIMIOTHERAPIE|
||||X7A5|NEOPLASME MALIN STERILISE PAR LA RADIO ET LA CHIMIOTHERAPIE|
||||X7A6|NEOPLASME MALIN NON STERILISE PAR LA RADIOTHERAPIE|
||||X7A7|NEOPLASME MALIN NON STERILISE PAR LA CHIMIOTHERAPIE|
||||X7A8|NEOPLASME MALIN NON STERILISE PAR LA RADIO ET LA CHIMIOTHERAPIE|
||||X7A9|NEOPLASME MALIN MODIFIE PAR LA THERAPEUTIQUE|
Carcinome, SAI|M-8010/3|80103||X7B0|TUMEUR EPITHELIALE MALIGNE - CARCINOME INVASIF (SAI)|
Carcinome anaplasique, SAI|M-8021/3|80213||X7C0|CARCINOME ANAPLASIQUE - CARCINOME A CELLULES INDEPENDANTES NON MUCOSECRETANTES|
Tumeur carcinoïde mixte|M-8244/3|82443||X7D0|CARCINOÏDE ET ADENOCARCINOME|changer code
Carcinome indifférencié, SAI|M-8020/3|80203||X7E0|CARCINOME INDIFFERENCIE (SAI)|
Tumeur maligne à cellules claires|M-8005/3|80053||X7E1|CARCINOME INDIFFERENCIE A CELLULES CLAIRES|
Carcinome à cellules fusiformes, SAI|M-8032/3|80323||X7E2|CARCINOME INDIFFERENCIE A CELLULES FUSIFORMES - CARCINOME SARCOMATOIDE|
Carcinome à cellules géantes|M-8031/3|80313||X7E3|CARCINOME INDIFFERENCIE A CELLULES GEANTES|
Carcinome à cellules géantes et à cellules fusiformes|M-8030/3|80303||X7E4|CARCINOME INDIFFERENCIE A CELLULES FUSIFORMES ET GEANTES|
Carcinome à grandes cellules, SAI|M-8012/3|80123||X7E6|CARCINOME INDIFFERENCIE A GRANDES CELLULES|
Carcinome à petites cellules, SAI|M-8041/3|80413||X7E8|CARCINOME INDIFFERENCIE A CELLULES DE RESERVE|
Carcinome lymphoépithélial|M-8082/3|80823||X7E9|CARCINOME INDIFFERENCIE NASOPHARYNGIEN|
Carcinome à petites cellules, SAI|M-8041/3|80413||X7F0|CARCINOME A PETITES CELLULES (SAI) UTILISER DE PREFERENCE S7Z4|
