LESION|LIBLESION
P7E0|EPITHELIOMA PILAIRE - TRICHILEMMOCARCINOME - CARCINOME MATRICIEL PILAIRE- TRICHOFOLLICULOCARCINOME
P7G2|PILOMATRICOME MALIN
P7P0|PINEALOME (SAI)
P7P2|PINEOCYTOME - PINEALOCYTOME
P7P4|PINEALOBLASTOME - PINEOBLASTOME
P7P6|PINEALOBLASTOME MIXTE - PINEOBLASTOME MIXTE
Q0A0|OSTEOME
Q0G0|OSTEOBLASTOME - OSTEOME OSTEOIDE GEANT
Q0H0|OSTEOME OSTEOIDE
Q0K0|BONE ISLAND
Q0M0|FIBROME OSSIFIANT
Q0P0|OSTEOFIBRODYSPLASIE
Q4G0|OSTEOBLASTOME AGRESSIF
Q4N0|TUMEUR FIBROMYXOIDE OSSIFIANTE DES TISSUS MOUS
Q7A0|OSTEOSARCOME (SAI)
Q7A2|OSTEOSARCOME OSTEOBLASTIQUE - SARCOME OSTEOBLASTIQUE
Q7A4|OSTEOSARCOME OSTEOGENIQUE
Q7A5|OSTEOSARCOME A CELLULES GEANTES PREDOMINANTES
Q7A6|OSTEOSARCOME A PREDOMINANCE CHONDROBLASTIQUE
Q7A7|OSTEOSARCOME A PREDOMINANCE FIBROBLASTIQUE
Q7A9|OSTEOSARCOME A COMPOSANTES MULTIPLES - SARCOME SQUELETTOGENE
Q7C2|OSTEOSARCOME TELANGIECTASIQUE
Q7C4|OSTEOSARCOME INTRA-OSSEUX BIEN DIFFERENCIE
Q7C6|OSTEOSARCOME JUXTACORTICAL
Q7C8|OSTEOSARCOME PERIOSTE
Q7C9|OSTEOSARCOME MULTIPLES
Q7E2|OSTEOSARCOME SUR MALADIE DE PAGET
Q7E4|OSTEOSARCOME SUR AUTRE LESION PREEXISTANTE (INFARCTUS, CHONDROME, ETC)
Q7E8|OSTEOSARCOME RADIO-INDUIT - OSTEOSARCOME EN TERRITOIRE IRRADIE
R0A0|PAPILLOME TRANSITIONNEL A CELLULES DE TYPE RESPIRATOIRE - PAPILLOME SCHNEIDERIEN
R0A4|PAPILLOME INVERSE A CELLULES DE TYPE RESPIRATOIRE
R0A6|PAPILLOME A CELLULES CYLINDRIQUES ONCOCYTAIRES
R0C0|RHABDOMYOME (SAI)
R0C1|RHABDOMYOME F_TAL
R0C3|RHABDOMYOME ADULTE - RHABDOMYOME GLYCOGENIQUE
R0C5|RHABDOMYOME DE TYPE GENITAL
R7A0|CARCINOME TRANSITIONNEL A CELLULES DE TYPE RESPIRATOIRE - CARCINOME SCHNEIDERIEN
R7C0|RHABDOMYOSARCOME (SAI)
R7C2|RHABDOMYOSARCOME ALVEOLAIRE
R7C3|RHABDOMYOSARCOME EMBRYONNAIRE (SAI)
R7C4|RHABDOMYOSARCOME EMBRYONNAIRE DE TYPE BOTRYOIDE
R7C5|RHABDOMYOSARCOME A CELLULES FUSIFORMES
R7C6|RHABDOMYOSARCOME POLYMORPHE
R7C8|RHABDOMYOSARCOME MIXTE
S0A0|ADENOME SEBACE ET MEIBONIEN (SAI)
S0A1|ADENOME SEBACE SYMETRIQUE
S0A2|HYPERPLASIE SEBACEE ADENOMATEUSE
S0A4|KERATO-ACANTHOME - KYSTE SEBACE ATYPIQUE DE DUPONT
S0A5|TORRET-MUIR  SYNDROME DE - KERATO-ACANTHOMES MULTIPLES
S0A6|NAEVUS SEBACE DE JADASSOHN
S0A8|RHINOPHYMA
S0A9|SEBOCYSTOMATOSE SEBACEE - MALADIE POLYKYSTIQUE EPIDERMIQUE HEREDITAIRE
S0B0|ADENOME CERUMINEUX
S0E0|TUMEUR SUDORALE BENIGNE - HIDRADENOME (SAI)
S0E1|ADENOME TUBULAIRE APOCRINE
S0E3|CYSTADENOME APOCRINE - ADENOME APOCRINE
S0E5|DERMAL DUCT TUMOR
S0E6|HIDRADENOME A CELLULES CLAIRES
S0E7|HIDRADENOME NODULAIRE
S0E8|HIDRADENOME PAPILLIFERE (VULVE)
S0E9|ACROSPIROME ECCRINE
S0F1|HIDROCYSTOME
S0F2|NAEVUS APOCRINE
S0F3|NAEVUS ECCRINE
S0F5|POLYPE ANNEXIEL DE LA PEAU DU NOUVEAU - NE
S0F6|POROME ECCRINE (SAI)
S0F7|HIDROACANTHOME SIMPLEX
S0F8|SPIRADENOME ECCRINE
S0H1|SYRINGOCYSTADENOME PAPILLIFERE - HIDRADENOME FISTULOVEGETANT
S0H2|SYRINGOME ERUPTIF - HIDRADENOME ERUPTIF
S0H4|TUMEUR EXCRETOSUDORALE  TUMEUR SUDORALE COMPLEXE - POROSYRINGOME - SYRINGOFIBROADENOME ECCRINE)
S0P0|TUMEUR A CELLULES GEANTES DES SYNOVIALES (SAI) - SYNOVIALOME BENIN
S0P2|TUMEUR A CELLULES GEANTES LOCALISEE - TENOSYNOVITE NODULAIRE
S0P4|TUMEUR A CELLULES GEANTES DIFFUSE - SYNOVITE VILLONODULAIRE PIGMENTEE
S0S0|APUDOME BENIN (SAI) - TUMEUR BENIGNE DU SED (SAI) - TUMORLET
S0S2|ADENOME INSULAIRE - NESIDIOBLASTOME (SAI)
S0S4|ADENOME A CELLULES C
S0S7|GASTRINOME
S0S8|GLUCAGONOME
S0T2|INSULINOME
S0T4|PPOME
S0T6|SOMATOSTATINOME
S0T7|VIPOME
S0T9|APUDOME A SECRETIONS MULTIPLES
S0V0|"POLYADENOMATOSE DU SED - ""APUDOMATOSE"" (SAI)"
S0V2|POLYADENOMATOSE UNIVISCERALE DU SED
S0V9|POLYADENOMATOSE PLURIVISCERALE DU SED
S0X0|TUMEUR BENIGNE A CELLULES DE MERKEL
S4S0|APUDOME A MALIGNITE INCERTAINE- TUMEUR DU SED A MALIGNITE INCERTAINE
S4S2|ADENOME INSULAIRE A MALIGNITE INCERTAINE- NESIDIOBLASTOME A MALIGNITE INCERTAINE(SAI)
S4S6|CARCINOIDE ATYPIQUE A MALIGNITE INCERTAINE
S4S7|GASTRINOME A MALIGNITE INCERTAINE
S4S8|GLUCAGONOME A MALIGNITE INCERTAINE
S4T2|INSULINOME A MALIGNITE INCERTAINE
S4T4|PPOME A MALIGNITE INCERTAINE
S4T6|SOMATOSTATINOME A MALIGNITE INCERTAINE
S4T7|VIPOME A MALIGNITE INCERTAINE
S4T9|APUDOME A SECRETIONS MULTIPLES A MALIGNITE INCERTAINE
S4X0|TUMEUR A CELLULES DE MERKEL A MALIGNITE INCERTAINE
S4Y0|TUMEUR CARCINOIDE (SAI)
S4Y1|TUMEUR CARCINOIDE AVEC MUCOSECRETION
S4Y2|TUMEUR CARCINOIDE AVEC CELLULES ONCOCYTAIRES
S4Y3|TUMEUR CARCINOIDE MELANOCYTIQUE
S7A0|CARCINOME SEBACE ET MEIBONIEN (SAI)
S7B0|CARCINOME CERUMINEUX
S7E0|ADENOCARCINOME SUDORIPARE (SAI) - HIDRADENOCARCINOME (SAI)
S7E3|ADENOCARCINOME APOCRINE
S7E4|ADENOCARCINOME ECCRINE
S7E6|HIDRADENOCARCINOME A CELLULES CLAIRES
S7F6|POROCARCINOME ECCRINE
S7F7|POROCARCINOME INTRA-EPIDERMIQUE
S7H1|CARCINOME SYRINGOIDE
S7P0|TUMEUR MALIGNE A CELLULES GEANTES DES SYNOVIALES
S7R0|SYNOVIALOSARCOME (SAI)
S7R2|SYNOVIALOSARCOME A CELLULES FUSIFORMES (TYPE SARCOMATOIDE)
S7R4|SYNOVIALOSARCOME A CELLULES EPITHELIOIDES (TYPE EPITHELIOIDE)
S7R6|SYNOVIALOSARCOME A DOUBLE COMPOSANTE SARCOMATOIDE ET EPITHELIOIDE - SYNOVIALOSARCOME BIPHASIQUE
S7R8|SYNOVIALOSARCOME PEU DIFFERENCIE
S7S0|APUDOME MALIN - CARCINOME NEUROENDOCRINE - TUMEUR MALIGNE DU SED (SAI)
S7S2|NESIDIOBLASTOME MALIN
S7S4|CARCINOME MEDULLAIRE A CELLULES C (SAI)
S7S5|CARCINOME MEDULLAIRE A STROMA AMYLOIDE
S7S6|CARCINOIDE MALIN
S7S7|GASTRINOME MALIN
S7S8|GLUCAGONOME MALIN
S7T2|INSULINOME MALIN
S7T4|PPOME MALIN
S7T6|SOMATOSTATINOME MALIN
S7T7|VIPOME MALIN
S7T9|APUDOME MALIN A SECRETIONS MULTIPLES
S7V0|POLYONCOSE MALIGNE DU SED (SAI)
S7V2|POLYONCOSE MALIGNE UNIVISCERALE DU SED
S7V9|TUMEUR MALIGNE DU SED AU COURS D'UNE POLYONCOSE PLURIVISCERALE
S7W0|TUMEUR AMPHICRINE MALIGNE (SAI)
S7W2|CARCINOIDE A CELLULES MUCINEUSES
S7W4|CARCINOME A CONTINGENT ENDOCRINE (SAI)
S7W6|ADENOCARCINOME AVEC CELLULES ENDOCRINES
S7X0|TUMEUR MALIGNE A CELLULES DE MERKEL
S7Z0|CARCINOME NEURO-ENDOCRINE (SAI)
S7Z1|CARCINOME NEURO-ENDOCRINE PROBABLE
S7Z2|CARCINOME NEURO-ENDOCRINE BIEN DIFFERENCIE
S7Z3|CARCINOME NEURO-ENDOCRINE INDIFFERENCIE
S7Z4|CARCINOME NEURO-ENDOCRINE A PETITES CELLULES
S7Z6|CARCINOME NEURO-ENDOCRINE A GRANDES CELLULES
T0A0|THYMOME BENIN (SAI)
T0C0|MOLE HYDATIFORME (SAI)
T0C2|MOLE PARTIELLE - MOLE EMBRYONNEE
T0D0|TUMEUR TROPHOBLASTIQUE BENIGNE DU SITE D'IMPLANTATION
T0E0|CHORIOEPITHELIOSE
T4A0|THYMOME A MALIGNITE INCERTAINE
T4A1|THYMOME A PREDOMINANCE LYMPHOIDE
T4A2|THYMOME DE TYPE LYMPHO-EPITHELIAL
T4A4|THYMOME A CELLULES FUSIFORMES (SARCOMATOIDE)
T4C0|MOLE HYDATIFORME INVASIVE - MOLE DISSEQUANTE
T7A0|THYMOME MALIN (SAI)
T7A2|THYMOME MALIN DE TYPE LYMPHO-EPITHELIAL
T7A3|THYMOME MALIN A CELLULES CLAIRES
T7A4|THYMOME MALIN A CELLULES FUSIFORMES (SARCOMATOIDE)
T7A6|CARCINOME THYMIQUE
T7A8|THYMOME MALIN INDIFFERENCIE
T7C0|CHORIOCARCINOME
T7D0|TUMEUR TROPHOBLASTIQUE MALIGNE DU SITE D'IMPLANTATION
T7H0|CHORIOCARCINOME ASSOCIE AUX AUTRES TUMEURS GERMINALES (SAI)
T7H1|CHORIOCARCINOME ET CARCINOME EMBRYONNAIRE
T7H2|CHORIOCARCINOME ET POLYEMBRYOME
T7H3|CHORIOCARCINOME ET SEMINOME
T7H4|CHORIOCARCINOME ET TUMEUR VITELLINE
T7H5|CHORIOCARCINOME ET TERATOCARCINOME
T7H6|CHORIOCARCINOME ET TERATOME IMMATURE
T7H9|CHORIOCARCINOME AVEC ASSOCIATIONS MULTIPLES
TEA0|THYMOME AVEC EXTENSION LOCALE
TMA0|THYMOME AVEC EMBOLES NEOPLASIQUES
U0A0|PAPILLOME TRANSITIONNEL DES VOIES URINAIRES - PAPILLOME UROTHELIAL DE MOSTOFI
U0B0|PAPILLOME TRANSITIONNEL INVERSE DES VOIES URINAIRES - PAPILLOME UROTHELIAL INVERSE
U5A0|CARCINOME TRANSITIONNEL PLAN IN SITU
U5D0|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE NON INFILTRANT (SAI)
U5D1|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE NON INFILTRANT DE GRADE I OU DE BAS GRADE
U5D2|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE NON INFILTRANT DE GRADE II OU DE GRADE MOYEN
U5D3|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE NON INFILTRANT DE GRADE III OU DE HAUT GRADE
U5E0|TUMEURS OU CARCINOMES TRANSITIONNELS MULTIPLES MULTIFORMES ET/OU MULTIRECIDIVANTS (SAI)
U5E1|TUMEURS OU CARCINOMES TRANSITIONNELS MULTIPLES MULTIFORMES ET/OU MULTIRECIDIVANTS DE GRADE I OU DE BAS GRADE
U5E2|TUMEURS OU CARCINOMES TRANSITIONNELS MULTIPLES MULTIFORMES ET/OU MULTIRECIDIVANTS DE GRADE II OU DE GRADE MOYEN
U5E3|TUMEURS OU CARCINOMES TRANSITIONNELS MULTIPLES MULTIFORMES ET/OU MULTIRECIDIVANTS DE GRADE III OU DE HAUT GRADE
U5E9|TUMEUR OU CARCINOME TRANSITIONNEL PAPILLAIRE DIFFUS (PAPILLOMATOSE UROTHELIALE)
U7A0|CARCINOME TRANSITIONNEL (PAPILLAIRE OU NON) INFILTRANT (SAI)
U7A1|CARCINOME TRANSITIONNEL (PAPILLAIRE OU NON) INFILTRANT DE GRADE I OU DE BAS GRADE
U7A2|CARCINOME TRANSITIONNEL (PAPILLAIRE OU NON) INFILTRANT DE GRADE II OU DE GRADE MOYEN
U7A3|CARCINOME TRANSITIONNEL (PAPILLAIRE OU NON) INFILTRANT DE GRADE III OU DE HAUT GRADE
U7G0|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION SUPERFICIEL (SAI)
U7G1|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION SUPERFICIEL DE GRADE I OU DE BAS GRADE
U7G2|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION SUPERFICIEL DE GRADE II OU DE GRADE MOYEN
U7G3|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION SUPERFICIEL DE GRADE III OU DE HAUT GRADE
U7H0|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION PROFOND (SAI)
U7H1|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION PROFOND DE GRADE I OU DE BAS GRADE
U7H2|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION PROFOND DE GRADE II OU DE GRADE MOYEN
U7H3|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU CHORION PROFOND DE GRADE III OU DE HAUT GRADE
U7K0|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE SUPERFICIEL (SAI)
U7K1|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE SUPERFICIEL DE GRADE I OU DE BAS GRADE
U7K2|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE SUPERFICIEL DE GRADE II OU DE GRADE MOYEN
U7K3|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE SUPERFICIEL DE GRADE III OU DE HAUT GRADE
U7L0|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE PROFOND (SAI)
U7L1|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE PROFOND DE GRADE I OU DE BAS GRADE
U7L2|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE PROFOND DE GRADE II OU DE GRADE MOYEN
U7L3|CARCINOME TRANSITIONNEL AVEC INFILTRATION DU MUSCLE PROFOND DE GRADE III OU DE HAUT GRADE
U7N0|CARCINOME TRANSITIONNEL DEPASSANT LE MUSCLE (SAI)
U7N3|CARCINOME TRANSITIONNEL DEPASSANT LE MUSCLE DE GRADE III
U7P0|CARCINOME TRANSITIONNEL AVEC METAPLASIE (SAI)
U7P1|CARCINOME TRANSITIONNEL AVEC METAPLASIE EPIDERMOIDE
U7P2|CARCINOME TRANSITIONNEL AVEC METAPLASIE GLANDULAIRE
U7P3|CARCINOME TRANSITIONNEL AVEC METAPLASIE EPIDERMOIDE ET GLANDULAIRE
V0A0|HEMANGIOME (SAI) - HAMARTOME VASCULAIRE (SAI)
V0A2|HEMANGIOME CAPILLAIRE
V0A3|HEMANGIOME INFILTRANT - HEMANGIOME INTRAMUSCULAIRE
V0A4|HEMANGIOME CAVERNEUX
V0A5|HEMANGIOME CIRSOIDE - HEMANGIOME ARTERIO-VEINEUX
V0A6|HEMANGIOME EPITHELOIDE
V0A7|HEMANGIOME SCLEROSE
V0A8|HEMANGIOME VEINEUX
V0A9|HEMANGIOME GEANT
V0B1|HEMANGIOME GLOMERULOIDE
V0B2|HEMANGIOME EN TOUFFES - TUFTED HEMANGIOMA
V0B3|HEMANGIOME SINUSOIDAL
V0B4|HEMANGIOME HEMOSIDEROTIQUE EN CIBLE
V0C0|HEMANGIOMATOSE - ANGIOMATOSE (SAI)
V0C1|BLUE RUBBER  SYNDROME DU - BLEB NAEVUS
V0C2|KLIPPEL-TRENAUNAY  SYNDROME DE
V0C3|ANGIOMATOSE BACILLAIRE
V0C4|ANGIOMATOSE BACILLAIRE INCERTAINE
V0C5|PARKES-WEBER  SYNDROME DE
V0C6|RENDU-OSLER  MALADIE DE
V0E0|ANGIOKERATOME
V0E2|ANGIOKERATOME DE LA MALADIE DE FABRY
V0E4|ANGIOFIBROME (SAI)
V0F0|HEMOLYMPHANGIOME
V0G0|HEMANGIOBLASTOME - HEMANGIOENDOTHELIOME INFANTILE
V0H0|HEMANGIOENDOTHELIOME VEGETANT INTRAVASCULAIRE (MASSON)
V0K0|HEMANGIOPERICYTOME BENIN
V0K1|HEMANGIOPERICYTOME INFANTILE
V0L0|TUMEUR GLOMIQUE (SAI)
V0L1|GLOMANGIOME
V0L2|GLOMANGIOMATOSE
V0L3|GLOMANGIOMYOME
V0M0|TUMEUR JUXTAGLOMERULAIRE
V0T0|LYMPHANGIOME (SAI)
V0T2|LYMPHANGIOME CAPILLAIRE
V0T4|LYMPHANGIOME CAVERNEUX
V0T6|LYMPHANGIOME KYSTIQUE
V0T8|LYMPHANGIOMATOSE AVEC OS EVANESCENT - GORHAM  SYNDROME DE
V0T9|LYMPHANGIOMATOSE (SAI)
V0V0|LYMPHANGIOMYOME - LYMPHANGIOMYOMATOSE
V0V1|LYMPHANGIOENDOTHELIOME BENIN
V4H8|HEMANGIOENDOTHELIOME INFANTILE RESSEMBLANT A UN SARCOME DE KAPOSI - KAPOSI-LIKE INFANTILE HEMANGIOENDOTHELIOMA
V4K0|HEMANGIOPERICYTOME A MALIGNITE INCERTAINE - NE PLUS UTILISER
V4N0|HEMANGIOENDOTHELIOME EPITHELOIDE
V4N2|HEMANGIOENDOTHELIOME RETIFORME
V4N7|HEMANGIOENDOTHELIOME A CELLULES FUSIFORMES
V7A0|HEMANGIOSARCOME - ENDOTHELIOSARCOME (SAI)
V7A1|ANGIOENDOTHELIOME PAPILLAIRE ENDOVASCULAIRE MALIN - TUMEUR DE DABSKA
V7A2|ANGIOENDOTHELIOMATOSE PROLIFERATIVE SYSTEMIQUE
V7A3|ANGIOSARCOME EPITHELIOIDE
V7K0|HEMANGIOPERICYTOME MALIN
V7L0|TUMEUR GLOMIQUE MALIGNE
V7N0|HEMANGIOENDOTHELIOME EPITHELIOIDE MALIN
V7R0|KAPOSI  SARCOME DE
V7R2|KAPOSI INCERTAIN  SARCOME DE
V7S0|TUMEUR BRONCHIOLO-ALVEOLAIRE INTRAVASCULAIRE (IVBAT)
V7T0|LYMPHANGIOSARCOME - STEWART-TREVES SYNDROME DE
VMW0|LYMPHANGITE CARCINOMATEUSE
X0A0|NEOPLASME BENIN (SAI)
X0A1|TUMEUR CONGENITALE BENIGNE (SAI)
X0A2|TUMEUR FAMILIALE BENIGNE (SAI)
X0B0|TUMEUR EPITHELIALE BENIGNE (SAI)
X0H0|TUMEUR MESENCHYMATEUSE BENIGNE (SAI)
X0H2|TUMEUR BENIGNE A CELLULES GEANTES
X0H4|TUMEUR BENIGNE A CELLULES GRANULEUSES - NE PLUS UTILISER CF N0A8
X0H6|PARACHORDOME
X0J0|TUMEUR STROMALE DU TRACTUS GASTRO-INTESTINAL BENIGNE (GIST)
X0N0|NODULE STROMAL DE L'ENDOMETRE
X0N8|TUMEUR STROMALE BENIGNE RESSEMBLANT AUX TUMEURS DES CORDONS SEXUELS
X0P0|TUMEUR MIXTE BENIGNE
X0P1|TUMEUR MIXTE MESODERMIQUE BENIGNE (SAI)
X0R0|TUMEUR BENIGNE D'ORIGINE INDETERMINEE (SAI)
X0R2|TUMEUR BENIGNE A CELLULES FUSIFORMES D'ORIGINE INDETERMINEE
X0R8|TUMEUR BENIGNE A CELLULES CLAIRES D'ORIGINE INDETERMINEE
X0T0|TUMEUR BENIGNE INCLASSABLE (SAI)
X4A0|NEOPLASME A MALIGNITE INCERTAINE
X4A1|TUMEUR CONGENITALE A MALIGNITE INCERTAINE (SAI)
X4A2|TUMEUR FAMILIALE A MALIGNITE INCERTAINE (SAI)
X4B0|TUMEUR EPITHELIALE A MALIGNITE INCERTAINE (SAI)
X4J0|TUMEUR STROMALE DU TRACTUS GASTRO-INTESTINAL A MALIGNITE INCERTAINE (GIST)
X4R0|TUMEUR D'ORIGINE INDETERMINEE A MALIGNITE INCERTAINE (SAI)
X4R2|TUMEUR A CELLULES FUSIFORMES D'ORIGINE INDETERMINEE
X4T0|TUMEUR INCLASSABLE A MALIGNITE INCERTAINE (SAI)
X7A0|NEOPLASME MALIN
X7A1|TUMEUR CONGENITALE MALIGNE (SAI)
X7A2|TUMEUR FAMILIALE MALIGNE (SAI)
X7A3|NEOPLASME MALIN STERILISE PAR LA RADIOTHERAPIE
X7A4|NEOPLASME MALIN STERILISE PAR LA CHIMIOTHERAPIE
X7A5|NEOPLASME MALIN STERILISE PAR LA RADIO ET LA CHIMIOTHERAPIE
X7A6|NEOPLASME MALIN NON STERILISE PAR LA RADIOTHERAPIE
X7A7|NEOPLASME MALIN NON STERILISE PAR LA CHIMIOTHERAPIE
X7A8|NEOPLASME MALIN NON STERILISE PAR LA RADIO ET LA CHIMIOTHERAPIE
X7A9|NEOPLASME MALIN MODIFIE PAR LA THERAPEUTIQUE
X7B0|TUMEUR EPITHELIALE MALIGNE - CARCINOME INVASIF (SAI)
X7C0|CARCINOME ANAPLASIQUE - CARCINOME A CELLULES INDEPENDANTES NON MUCOSECRETANTES
X7D0|CARCINOME COMPOSITE (SAI)
X7E0|CARCINOME INDIFFERENCIE (SAI)
X7E1|CARCINOME INDIFFERENCIE A CELLULES CLAIRES
X7E2|CARCINOME INDIFFERENCIE A CELLULES FUSIFORMES - CARCINOME SARCOMATOIDE
X7E3|CARCINOME INDIFFERENCIE A CELLULES GEANTES
X7E4|CARCINOME INDIFFERENCIE A CELLULES FUSIFORMES ET GEANTES
X7E6|CARCINOME INDIFFERENCIE A GRANDES CELLULES
X7E8|CARCINOME INDIFFERENCIE A CELLULES DE RESERVE
X7E9|CARCINOME INDIFFERENCIE NASOPHARYNGIEN
X7F0|CARCINOME A PETITES CELLULES (SAI) UTILISER DE PREFERENCE S7Z4
X7F1|NE PLUS UTILISER  - EX-CARCINOME A PETITES CELLULES EN GRAINS D'AVOINE Cf S7Z4
X7F2|NE PLUS UTILISER - EX-CARCINOME A PETITES CELLULES DE TYPE INTERMEDIAIRE
X7F3|NE PLUS UTILISER - EX-CARCINOME A PETITES CELLULES DE TYPE COMPOSITE
X7F5|NE PLUS UTILISER - EX-CARCINOME A PETITES CELLULES AVEC CELLULES DE GRANDE TAILLE Cf S7Z6
X7H0|TUMEUR MESENCHYMATEUSE MALIGNE (SAI)
X7H2|TUMEUR MALIGNE A CELLULES GEANTES
X7H4|TUMEUR MALIGNE A CELLULES GRANULEUSES - NE PLUS UTILISER - CF N7A8
X7J0|TUMEUR STROMALE DU TRACTUS GASTRO-INTESTINAL A HAUTE MALIGNITE (GIST)
X7K0|SARCOME (SAI)
X7K1|SARCOME A CELLULES CLAIRES - NE PLUS UTILISER - CF N7H5
X7K2|SARCOME A CELLULES EPITHELIOIDES PROXIMAL OU DISTAL
X7K3|SARCOME A CELLULES FUSIFORMES
X7K4|SARCOME A CELLULES GEANTES (AUTRE QUE LES TUMEURS MALIGNES A CELLULES GEANTES)
X7K6|SARCOME A CELLULES POLYMORPHES
X7K8|SARCOME ALVEOLAIRE DES PARTIES MOLLES
X7K9|SARCOMATOSE
X7L0|SARCOME D'EWING (SAI)
X7L1|SARCOME D'EWING SQUELETTIQUE CLASSIQUE
X7L2|SARCOME D'EWING SQUELETTIQUE ATYPIQUE A GRANDES CELLULES
X7L3|SARCOME D'EWING SQUELETTIQUE DE TYPE VASCULAIRE
X7L4|SARCOME D'EWING EXTRASQUELETTIQUE
X7N0|SARCOME STROMAL (SAI)
X7N2|SARCOME STROMAL A TYPE DE MYOSE STROMALE ENDOLYMPHATIQUE
X7N4|SARCOME STROMAL DE HAUT GRADE
X7N6|SARCOME STROMAL A TYPE DE STROMOMYOME
X7N8|SARCOME STROMAL RESSEMBLANT AUX TUMEURS DES CORDONS SEXUELS
X7P0|TUMEUR MIXTE MALIGNE (SAI)
X7P1|TUMEUR MIXTE MESODERMIQUE MALIGNE (SAI)
X7P2|ADENOSARCOME
X7P3|CARCINOFIBROME
X7P4|CARCINOSARCOME (SAI)
X7P6|TUMEUR MIXTE MALIGNE OU CARCINOSARCOME MULLERIEN DE TYPE HOMOLOGUE
X7P7|TUMEUR MIXTE MALIGNE OU CARCINOSARCOME MULLERIEN DE TYPE HETEROLOGUE
X7P8|TUMEUR DE RIOPELLE
X7P9|TUMEUR MALIGNE DESMOPLASTIQUE MULTIPHENOTYPIQUE A PETITES CELLULES
X7R0|TUMEUR MALIGNE D'ORIGINE INDETERMINEE (SAI)
X7R2|TUMEUR MALIGNE A CELLULES FUSIFORMES D'ORIGINE INDETERMINEE
X7R4|TUMEUR MALIGNE A CELLULES INDIFFERENCIEES POLYMORPHES D'ORIGINE INDETERMINEE
X7R6|TUMEUR MALIGNE A PETITES CELLULES D'ORIGINE INDETERMINEE
X7R8|TUMEUR RHABDOIDE MALIGNE
X7T0|TUMEUR MALIGNE INCLASSABLE (SAI)
X7V0|CANCER SUR CICATRICE - CANCER SUR ANASTOMOSE
X7V2|CANCER EN TERRITOIRE IRRADIE - DOUBLE CODAGE AVEC LE TYPE DE LA TUMEUR
X7W0|CANCERS MULTIPLES
X7W1|CANCERS MULTIPLES DANS LE CADRE DU SYNDROME GENIQUE DE LI-FRAUMENI
X7X0|GREFFE CANCEREUSE (SAI)
X7X2|GREFFE CANCEREUSE SUR TRAJET DE PONCTION
X8A0|NEOPLASME RECIDIVANT
X9A0|NEOPLASME MALIN DONT LA NATURE PRIMITIVE OU SECONDAIRE N'EST PAS ASSUREE
X9T0|TUMEUR MALIGNE INCLASSABLE DONT LA NATURE PRIMITIVE OU SECONDAIRE N'EST PAS ASSUREE
XEA0|NEOPLASME AVEC EXTENSION PAR CONTIGUITE AUX ORGANES DE VOISINAGE
XEB0|TUMEUR EPITHELIALE MALIGNE OU CARCINOME AVEC EXTENSION PAR CONTIGUITE AUX ORGANES DE VOISINAGE (SAI)
XMA0|NEOPLASME METASTATIQUE - NEOPLASME SECONDAIRE
XMA3|NEOPLASME METASTATIQUE STERILISE PAR LA RADIOTHERAPIE
XMA4|NEOPLASME METASTATIQUE STERILISE PAR LA CHIMIOTHERAPIE
XMA5|NEOPLASME METASTATIQUE STERILISE PAR LA RADIO ET CHIMIOTHERAPIE
XMA6|NEOPLASME METASTATIQUE NON STERILISE PAR LA RADIOTHERAPIE
XMA7|NEOPLASME METASTATIQUE NON STERILISE PAR LA CHIMIOTHERAPIE
XMA8|NEOPLASME METASTATIQUE NON STERILISE PAR LA RADIO ET CHIMIOTHERAPIE
XMA9|NEOPLASME METASTATIQUE AVEC MODIFICATION OU MATURATION PAR LA THERAPEUTIQUE
XMB0|TUMEUR EPITHELIALE MALIGNE METASTATIQUE (SAI) - CARCINOME METASTATIQUE (SAI)
XMB2|KRUKENBERG  TUMEUR DE
XMB9|CARCINOMATOSE METASTATIQUE
